Q-Learning(F1),RNN-Synth(F1),SVD(F1),CFCosineSim(F1),RNN-Historical(F1),episodes
0.152396899,0,0.25087352,0.144122455,0,2
0.118621112,0,0.16830886,0.172806297,0,3
0.123303391,0,0.122405036,0.169708696,0,4
0.126065374,0,0.160782724,0.184577815,0,5
0.128413652,0,0.159392198,0.158218354,0,6
0.128224597,0,0.121586604,0.156598676,0,7
0.123025909,0,0.115910182,0.18353619,0,8
0.120988582,0,0.118617944,0.163231968,0,9
0.136184302,0,0.119469959,0.144140634,0,10
0.133895972,0,0.125540962,0.15167427,0,11
0.136320679,0,0.156408074,0.162810525,0,12
0.12951515,0,0.09763213,0.175453444,0,13
0.133700192,0,0.133925641,0.146688581,0,14
0.132454662,0,0.122307482,0.139699921,0,15
0.136022442,0,0.215953208,0.141749865,0,16
0.147074736,0,0.140815891,0.145163592,0,17
0.125167297,0,0.413704183,0.136843135,0,18
0.135885264,0,0.125692395,0.141232891,0,19
0.137622224,0,0.118808511,0.163686039,0,20
0.137843826,0,0.133413869,0.140632597,0,21
0.132939864,0,0.11295786,0.127484442,0,22
0.129515562,0,0.11395235,0.138978276,0,23
0.134239235,0,0.127307209,0.153149954,0,24
0.124398788,0,0.128314,0.147975588,0,25
0.126811576,0,0.100743729,0.133720162,0,26
0.137289747,0,0.112850277,0.128425459,0,27
0.127129935,0,0.387173518,0.137721904,0,28
0.132604215,0,0.12904213,0.144823715,0,29
0.13045451,0,0.106859688,0.135868814,0,30
0.124971047,0,0.129588781,0.158055322,0,31
0.130009367,0,0.125346245,0.141180677,0,32
0.131484924,0,0.142471453,0.13666642,0,33
0.125752044,0,0.105132615,0.141673739,0,34
0.132694776,0,0.12582046,0.139979966,0,35
0.134804206,0,0.121080611,0.131254135,0,36
0.129600891,0,0.418309522,0.129311451,0,37
0.133781865,0,0.111713247,0.140388333,0,38
0.140688421,0,0.113301026,0.150154563,0,39
0.14381153,0,0.153785503,0.129968723,0,40
0.138742583,0,0.164165767,0.135260488,0,41
0.136190323,0,0.121521424,0.133209199,0,42
0.141612721,0,0.105432483,0.132543232,0,43
0.1361522,0,0.113000385,0.128981227,0,44
0.491575401,0.481421604,0.36353588,0.176403294,0.112052511,45
0.870966825,0.486494438,0.330110121,0.163131605,0.198260774,46
0.860866504,0.45712111,0.309408087,0.16586237,0.201175399,47
0.898494237,0.419956551,0.352709392,0.186459929,0.162014348,48
0.901547474,0.557863252,0.325758601,0.168017205,0.090399705,49
0.926606629,0.553571896,0.272076454,0.171970493,0.088721473,50
0.933143011,0.612741546,0.311202457,0.151738897,0.10581244,51
0.928017683,0.676603295,0.303913283,0.172931125,0.099496558,52
0.929844969,0.654120021,0.296297083,0.180391146,0.128638932,53
0.938538387,0.68197345,0.368868867,0.175629206,0.131108856,54
0.93964378,0.76139436,0.354586802,0.198366377,0.126361231,55
0.932111432,0.787153191,0.30145855,0.178972947,0.127352773,56
0.937732168,0.773697519,0.283478712,0.167642719,0.122373783,57
0.960681346,0.823445985,0.285798222,0.166611329,0.111611365,58
0.923999383,0.797437951,0.292545675,0.168431696,0.127513455,59
0.964992384,0.802807152,0.345453076,0.181485865,0.128105033,60
0.934509264,0.814241729,0.321450068,0.15539895,0.126653259,61
0.929489197,0.81544148,0.297393521,0.154748745,0.125220544,62
0.940464918,0.824423311,0.273266612,0.154746558,0.116062987,63
0.953567355,0.874186231,0.105211686,0.157679831,0.123137563,64
0.938553124,0.84734873,0.333683132,0.191759014,0.13270175,65
0.948838655,0.858224544,0.100993584,0.169048095,0.126601134,66
0.950133946,0.857626985,0.292859495,0.1655314,0.121414096,67
0.933068522,0.834217416,0.286533975,0.205148889,0.127988776,68
0.961206561,0.888568101,0.298879794,0.186282551,0.123144176,69
0.956016037,0.850329018,0.296104055,0.182174499,0.131523195,70
0.939087798,0.850290448,0.278887477,0.168682625,0.117723702,71
0.936824337,0.871479465,0.311267779,0.180109813,0.125402704,72
0.95557277,0.889024623,0.305731749,0.178332487,0.202478049,73
0.943600733,0.87229086,0.285948272,0.167908649,0.127966909,74
0.943031288,0.862084547,0.256320968,0.168661346,0.126285381,75
0.951292614,0.879646592,0.256170311,0.17059706,0.127625265,76
0.936061988,0.836668423,0.135087735,0.176105662,0.129135402,77
0.94457241,0.867125485,0.312825557,0.157820141,0.110023647,78
0.95026621,0.868389671,0.280551675,0.201794214,0.136786798,79
0.849590938,0.772376759,0.135201133,0.307065278,0.150641709,80
0.880361697,0.79901313,0.196080392,0.315421004,0.155439626,81
0.852217961,0.759555575,0.232921006,0.305789766,0.152515006,82
0.861426133,0.763984547,0.241364592,0.312522935,0.144983759,83
0.875144184,0.807265638,0.27105769,0.28131061,0.138661726,84
0.855463075,0.7777413,0.228690022,0.254838526,0.144920735,85
0.888923323,0.779439942,0.258067791,0.314838706,0.157275532,86
0.875093522,0.776227795,0.13208333,0.30437456,0.144055789,87
0.848495204,0.735304751,0.134133814,0.273024033,0.147737044,88
0.883058677,0.788399139,0.135199535,0.299340717,0.122036234,89
0.85402751,0.780252149,0.133937662,0.286957206,0.126642631,90
0.867181738,0.760264055,0.13373503,0.271409289,0.142014867,91
0.881916447,0.764875094,0.149524747,0.280750375,0.126380048,92
0.891003928,0.795847265,0.111768834,0.312167734,0.132941954,93
0.947664472,0.875934709,0.100685091,0.298271505,0.147908089,94
0.935902522,0.870690903,0.107000598,0.29930706,0.143647485,95
0.949930666,0.854766865,0.105996062,0.301848137,0.131395101,96
0.954510775,0.882772448,0.131166474,0.298297861,0.144963183,97
0.947271461,0.843138585,0.133601612,0.301458374,0.132160761,98
0.917403291,0.831840556,0.167285192,0.348877864,0.142359126,99
0.901016986,0.800164419,0.149842993,0.390938207,0.165907044,100
0.882543673,0.773107674,0.163247168,0.364907454,0.160048003,101
0.877162269,0.781425442,0.125200864,0.373618776,0.186798761,102
0.913438639,0.814323651,0.218470465,0.409192124,0.162799783,103
0.932708052,0.846675512,0.19809266,0.409006967,0.198877546,104
0.937298884,0.849252009,0.177550838,0.448587262,0.186092358,105
0.928527244,0.838554338,0.194478016,0.476205341,0.180866384,106
0.940936365,0.855162118,0.195005102,0.529564001,0.177623678,107
0.942737077,0.856825284,0.197044838,0.490650693,0.187810727,108
0.954555408,0.861770372,0.124239481,0.464155474,0.196593299,109
0.953256497,0.867360084,0.185156843,0.521130359,0.190016576,110
0.959298633,0.899767669,0.121566389,0.525266473,0.146556417,111
0.976459704,0.906502215,0.201027941,0.498402684,0.186048475,112
0.953214302,0.889330334,0.210855526,0.486138275,0.187548355,113
0.963583941,0.88368845,0.213141112,0.495292541,0.217013571,114
0.954017702,0.881612776,0.222778428,0.498850743,0.212303221,115
